protein_id,taxa_id,clade,description,domain_id,start,stop,length,genus,species
A0A014PQC0,568076,E,Glyceraldehyde 3-phosphate dehydrogenase catalytic domain,PF02800,157,314,338,Metarhizium,robertsii
A0A016S8J7,53326,E,Peptidase C13 legumain,PF01650,40,94,101,Ancylostoma,ceylanicum
A0A016S8J7,53326,E,Neurotransmitter-gated ion-channel ligand-binding domain,PF02931,23,39,101,Ancylostoma,ceylanicum
A0A016SK08,53326,E,Reverse transcriptase domain,PF00078,10,99,194,Ancylostoma,ceylanicum
A0A016SLU4,53326,E,disorder_prediction,mobidb-lite,1,33,733,Ancylostoma,ceylanicum
A0A016SS41,53326,E,disorder_prediction,mobidb-lite,516,551,865,Ancylostoma,ceylanicum
A0A016T911,53326,E,disorder_prediction,mobidb-lite,903,938,1786,Ancylostoma,ceylanicum
A0A016TEY5,53326,E,disorder_prediction,mobidb-lite,106,159,656,Ancylostoma,ceylanicum
A0A016TQ94,53326,E,disorder_prediction,mobidb-lite,102,121,2006,Ancylostoma,ceylanicum
A0A016TTS1,53326,E,RNA polymerase II heptapeptide repeat eukaryotic,PF05001,1634,1642,1900,Ancylostoma,ceylanicum
A0A016U0V3,53326,E,SANT associated,PF09133,374,466,1167,Ancylostoma,ceylanicum
A0A016U557,53326,E,Spectrin repeat,PF00435,710,811,2385,Ancylostoma,ceylanicum
A0A016U701,53326,E,Peptidase M12A,PF01400,1,83,281,Ancylostoma,ceylanicum
A0A016UJ17,53326,E,Zinc finger RING-type,PF13639,308,350,464,Ancylostoma,ceylanicum
A0A016USI4,53326,E,WD40 repeat,PF00400,310,347,597,Ancylostoma,ceylanicum
A0A016V1B2,53326,E,disorder_prediction,mobidb-lite,1,46,1123,Ancylostoma,ceylanicum
A0A016V7D3,53326,E,Ets domain,PF00178,442,525,530,Ancylostoma,ceylanicum
A0A016VK28,53326,E,VPS9 domain,PF02204,278,378,514,Ancylostoma,ceylanicum
A0A016W2S6,53326,E,disorder_prediction,mobidb-lite,124,145,419,Ancylostoma,ceylanicum
A0A016W9A4,53326,E,Endoplasmic reticulum oxidoreductin 1,PF04137,49,341,362,Ancylostoma,ceylanicum
A0A016WC87,53326,E,Phosphopantetheine binding ACP domain,PF00550,2071,2121,7074,Ancylostoma,ceylanicum
A0A016WF52,53326,E,disorder_prediction,mobidb-lite,21,66,699,Ancylostoma,ceylanicum
A0A016WMQ5,53326,E,Ankyrin repeat domain-containing protein 13,PF11904,156,458,624,Ancylostoma,ceylanicum
A0A016WYY3,53326,E,disorder_prediction,mobidb-lite,144,181,243,Ancylostoma,ceylanicum
A0A016WZR8,53326,E,disorder_prediction,mobidb-lite,490,514,970,Ancylostoma,ceylanicum
A0A022PT25,4155,E,Alpha-D-phosphohexomutase C-terminal,PF00408,564,615,640,Erythranthe,guttata
A0A022PTA6,4155,E,Pectinesterase catalytic,PF01095,237,544,551,Erythranthe,guttata
A0A022PTS3,4155,E,WD40 repeat,PF00400,186,222,329,Erythranthe,guttata
A0A022PUH6,4155,E,disorder_prediction,mobidb-lite,1,31,1200,Erythranthe,guttata
A0A022Q1E9,4155,E,Non-haem dioxygenase N-terminal domain,PF14226,3,75,304,Erythranthe,guttata
A0A022QCU5,4155,E,disorder_prediction,mobidb-lite,140,160,505,Erythranthe,guttata
A0A022QDW2,4155,E,Small auxin-up RNA,PF02519,4,67,79,Erythranthe,guttata
A0A022QFT7,4155,E,Pentatricopeptide repeat,PF13041,432,479,740,Erythranthe,guttata
A0A022QQ15,4155,E,disorder_prediction,mobidb-lite,357,395,395,Erythranthe,guttata
A0A022QRH6,4155,E,disorder_prediction,mobidb-lite,170,222,245,Erythranthe,guttata
A0A022QVZ8,4155,E,Homeobox KN domain,PF05920,357,396,434,Erythranthe,guttata
A0A022R6W5,4155,E,disorder_prediction,mobidb-lite,395,432,432,Erythranthe,guttata
A0A022R8D2,4155,E,disorder_prediction,mobidb-lite,510,723,723,Erythranthe,guttata
A0A022R8P9,4155,E,Glycoside hydrolase family 19 catalytic,PF00182,71,299,322,Erythranthe,guttata
A0A022RBU3,4155,E,DEAD/DEAH box helicase domain,PF00270,62,224,410,Erythranthe,guttata
A0A022RHH4,4155,E,Major intrinsic protein,PF00230,45,263,277,Erythranthe,guttata
A0A022RUE2,4155,E,Protein kinase domain,PF00069,205,475,528,Erythranthe,guttata
A0A022S239,4155,E,Photosystem II Psb28 class 1,PF03912,73,178,181,Erythranthe,guttata
A0A023EUI7,7160,E,Sodium:dicarboxylate symporter,PF00375,33,479,518,Aedes,albopictus
A0A023EVQ2,7160,E,Serine proteases trypsin domain,PF00089,395,646,652,Aedes,albopictus
A0A023EZK5,30076,E,Kelch repeat type 2,PF07646,301,350,500,Triatoma,infestans
A0A023F3V4,30076,E,Serine-threonine/tyrosine-protein kinase catalytic domain,PF07714,79,335,690,Triatoma,infestans
A0A023FI30,34607,E,Ribosomal protein S8e/ribosomal biogenesis NSA2,PF01201,32,259,260,Amblyomma,cajennense
A0A023FPE9,34607,E,S-adenosylmethionine synthetase C-terminal,PF02773,319,453,460,Amblyomma,cajennense
A0A023FVD0,251391,E,DEAD/DEAH box helicase domain,PF00270,80,244,442,Amblyomma,parvum
A0A023FVL6,251391,E,RNA recognition motif domain,PF00076,92,141,240,Amblyomma,parvum
A0A023FYT6,251391,E,MD-2-related lipid-recognition domain,PF02221,34,174,179,Amblyomma,parvum
A0A023G6L1,251400,E,Microtubule associated protein  tubulin-binding repeat,PF00418,99,122,309,Amblyomma,triste
A0A023GFW4,251400,E,Spectrin repeat,PF00435,393,498,891,Amblyomma,triste
A0A023GHF6,251400,E,Cornichon,PF03311,6,133,151,Amblyomma,triste
A0A023GRW4,7227,E,Laminin G domain,PF02210,3825,3949,3989,Drosophila,melanogaster
A0A023I112,1378113,E,Cytochrome b/b6 N-terminal,PF00033,1,174,344,Asthenodipsas,lasgalenensis
A0A023J1F3,1435083,E,Cytochrome c oxidase subunit I,PF00115,8,313,313,Loxosceles,sp. Fuerteventura-Lanzarote
A0A023QKL5,9606,E,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,PF00361,134,418,603,Homo,sapiens
A0A024FLT0,79622,E,Cytochrome c oxidase subunit I,PF00115,1,239,239,Calonectris,leucomelas
A0A024FTK8,65357,E,WD40 repeat,PF00400,88,125,611,Albugo,candida
A0A024G5C5,65357,E,Cyclic nucleotide-binding domain,PF00027,453,541,912,Albugo,candida
A0A024GFP4,65357,E,DDHD domain,PF02862,569,610,1064,Albugo,candida
A0A024GGN3,65357,E,disorder_prediction,mobidb-lite,100,157,742,Albugo,candida
A0A024GP81,65357,E,disorder_prediction,mobidb-lite,170,200,444,Albugo,candida
A0A024R4H4,9606,E,Kinesin family member 1B isoform CRA_b OS=Homo sapiens GN=KIF1B PE=3 SV=1,CoiledCoil,492,520,1633,Homo,sapiens
A0A024RAU3,9606,E,Thioesterase domain,PF03061,16,87,107,Homo,sapiens
A0A024TDV8,157072,E,C2 domain,PF00168,116,233,646,Aphanomyces,invadans
A0A024TG61,157072,E,Ribonuclease P/MRP protein subunit,PF01900,32,124,135,Aphanomyces,invadans
A0A024TVP3,157072,E,Harbinger transposase-derived nuclease domain,PF13359,74,195,224,Aphanomyces,invadans
A0A024TY59,157072,E,disorder_prediction,mobidb-lite,256,284,1786,Aphanomyces,invadans
A0A024TZ94,157072,E,Magnesium transporter NIPA,PF05653,14,314,401,Aphanomyces,invadans
A0A024U3V6,157072,E,disorder_prediction,mobidb-lite,43,74,761,Aphanomyces,invadans
A0A024UGI4,157072,E,Leucine-rich repeat,PF13516,227,238,905,Aphanomyces,invadans
A0A024UR18,157072,E,Leucine-rich repeat,PF13516,396,414,1348,Aphanomyces,invadans
A0A024URB8,157072,E,PPPDE putative peptidase domain,PF05903,13,142,229,Aphanomyces,invadans
A0A024USS3,157072,E,disorder_prediction,mobidb-lite,1,146,410,Aphanomyces,invadans
A0A024UUH1,157072,E,disorder_prediction,mobidb-lite,141,461,1254,Aphanomyces,invadans
A0A024UVM9,157072,E,Cation/H+ exchanger,PF00999,38,450,501,Aphanomyces,invadans
A0A026VVU8,443821,E,Polyketide synthase dehydratase domain,PF14765,378,570,1844,Cerapachys,biroi
A0A026WA94,443821,E,EH domain,PF12763,130,222,1023,Cerapachys,biroi
A0A026WFV9,443821,E,MAD homology 1 Dwarfin-type,PF03165,30,133,400,Cerapachys,biroi
A0A026WNB9,443821,E,Domain of unknown function DUF3421,PF11901,27,136,145,Cerapachys,biroi
A0A026WNG9,443821,E,Tetratricopeptide repeat,PF13181,49,80,171,Cerapachys,biroi
A0A026WNN5,443821,E,Shal-type voltage-gated potassium channels N-terminal,PF11601,2,29,722,Cerapachys,biroi
A0A026WPD9,443821,E,disorder_prediction,mobidb-lite,720,760,760,Cerapachys,biroi
A0A026WRX6,443821,E,Epithelial sodium channel,PF00858,30,505,576,Cerapachys,biroi
A0A026X1H8,443821,E,SEA domain,PF01390,196,282,537,Cerapachys,biroi
A0A034V4R0,27457,E,disorder_prediction,mobidb-lite,1305,1331,1366,Bactrocera,dorsalis
A0A034V4T3,27457,E,disorder_prediction,mobidb-lite,805,830,1354,Bactrocera,dorsalis
A0A034V6Z1,27457,E,disorder_prediction,mobidb-lite,135,186,555,Bactrocera,dorsalis
A0A034VC96,27457,E,disorder_prediction,mobidb-lite,681,719,865,Bactrocera,dorsalis
A0A034VIM2,27457,E,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L (Fragment) OS=Bactrocera dorsalis GN=TAF5L PE=4 SV=1,LowComplexity,454,467,497,Bactrocera,dorsalis
A0A034VKB0,27457,E,disorder_prediction,mobidb-lite,614,648,1441,Bactrocera,dorsalis
A0A034VNJ9,27457,E,disorder_prediction,mobidb-lite,75,145,621,Bactrocera,dorsalis
A0A034VUN5,27457,E,disorder_prediction,mobidb-lite,101,121,1059,Bactrocera,dorsalis
A0A034VWU9,27457,E,dDENN domain,PF03455,356,394,1167,Bactrocera,dorsalis
A0A034W0S3,27457,E,Zinc finger LIM-type,PF00412,180,235,799,Bactrocera,dorsalis
A0A034W5F9,27457,E,Transcription activator MBF2,PF15868,26,117,119,Bactrocera,dorsalis
A0A034W5K9,27457,E,Zinc finger LIM-type,PF00412,582,638,730,Bactrocera,dorsalis
A0A034WAU9,27457,E,Short-chain dehydrogenase/reductase SDR,PF00106,7,210,259,Bactrocera,dorsalis
A0A034WQH9,27457,E,Acyl-CoA oxidase/dehydrogenase central domain,PF02770,187,289,627,Bactrocera,dorsalis
A0A034WSI6,27457,E,DEAD/DEAH box helicase domain,PF00270,58,223,576,Bactrocera,dorsalis
A0A034WSM8,27457,E,WRB/Get1 family,PF04420,2,164,177,Bactrocera,dorsalis
A0A044QNI6,6282,E,Collagen triple helix repeat,PF01391,190,248,330,Onchocerca,volvulus
A0A044S5D8,6282,E,DEAD/DEAH box helicase domain,PF00270,180,333,1585,Onchocerca,volvulus
A0A044TJ01,6282,E,disorder_prediction,mobidb-lite,43,119,608,Onchocerca,volvulus
A0A044U3D7,6282,E,TB2/DP1/HVA22-related protein,PF03134,97,164,175,Onchocerca,volvulus
A0A044U723,6282,E,disorder_prediction,mobidb-lite,27,78,436,Onchocerca,volvulus
